date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag,tenant_profile,hospital_name_water,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,cholera_water_risk,typhoid_water_risk,gastro_water_risk,water_risk_score,water_risk_level,contamination_event_flag,lat,lng,rolling_cases_24h,rolling_cases_72h,delta_cases,case_growth_rate,water_contamination_index,humidity_index,rainfall_index,environmental_risk_index,future_cases_48h,predicted_cases_48h,raw_risk_score,riskScore,riskLevel,anomaly_val,is_anomaly,anomaly_score
2025-09-22,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,190,13,22,27,57,0.864406779661017,20.1,0.88,0,government,"District Government Hospital, Agartala",7.47,4.34,163,0.17,27.7,6.41,0.413,0.354,0.253,0.087,LOW,0,23.8315,91.2868,0.8571428571428572,0.8954545454545454,0.4285714285714286,0.07331665117609208,0.045924182511696034,0.0,0.1292435973793925,0.1292435973793925,185.0,191.3876567557837,79.22522415145829,70.22221845804485,High,1,False,0.027989751418376674
2025-09-23,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,183,22,12,24,69,0.7457627118644067,37.1,1.24,0,government,"District Government Hospital, Agartala",7.4,7.58,117,0.24,26.85,6.16,0.355,0.291,0.313,0.128,LOW,0,23.8315,91.2868,0.8238095238095239,0.8636363636363636,0.4285714285714286,0.07319495922905857,0.03418493936987462,0.0,0.2257296009529482,0.22572960095294814,186.0,192.8040367227094,80.4044588797095,71.45838690713877,High,1,False,0.0486103829759183
2025-09-24,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,185,12,13,31,62,0.9999999999999999,32.9,0.79,0,government,"District Government Hospital, Agartala",7.51,6.87,16,0.18,26.9,7.62,0.517,0.551,0.655,0.103,LOW,0,23.8315,91.2868,0.8333333333333334,0.8454545454545455,0.4584717607973422,0.07763564996536597,0.006299607868954988,0.0,0.20458606313281716,0.20458606313281713,198.0,194.58364125256284,80.06830536842196,71.10600382788361,High,1,False,0.028837775532176924
2025-09-25,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,186,19,16,21,96,0.5762711864406779,14.6,1.17,0,government,"District Government Hospital, Agartala",7.4,2.78,122,0.09,31.93,6.8,0.408,0.416,0.833,0.058,LOW,0,23.8315,91.2868,0.8380952380952381,0.8393939393939394,0.4551495016611296,0.07712219261515037,0.034239802055430514,0.0,0.08278737343656939,0.08278737343656939,176.0,182.4326798701548,74.82813974409054,65.61284181557457,High-Mod,1,False,0.04899704080740758
2025-09-26,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,198,18,24,31,110,0.5423728813559322,36.6,1.92,0,government,"District Government Hospital, Agartala",7.63,4.58,24,0.06,25.47,5.4,0.241,0.387,0.425,0.071,LOW,0,23.8315,91.2868,0.8952380952380953,0.8621212121212121,0.49169435215946844,0.08261699227623807,0.007882396347242396,0.0,0.13639070875521145,0.13639070875521142,197.0,196.18746177980026,80.07536368988951,71.1134029267167,High,-1,True,-0.029939115286402362
2025-09-27,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,176,11,17,31,98,0.9999999999999999,47.7,0.87,0,government,"District Government Hospital, Agartala",7.5,7.19,76,0.13,31.17,5.14,0.279,0.51,0.188,0.116,LOW,0,23.8315,91.2868,0.7904761904761906,0.8484848484848484,0.37873754152823924,0.06629107981220657,0.022844822265472305,0.0,0.21411554496724242,0.2141155449672424,186.0,190.95964189220672,79.21035687451929,70.20663338559436,High,1,False,0.029397267109610492
2025-09-28,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,197,21,13,27,86,0.9491525423728812,43.3,0.15,0,government,"District Government Hospital, Agartala",7.36,6.87,110,0.16,30.63,8.61,0.436,0.378,0.441,0.116,LOW,0,23.8315,91.2868,0.8904761904761905,0.8651515151515151,0.521594684385382,0.0877112676056338,0.0320644965731395,0.0,0.20458606313281716,0.20458606313281713,192.0,194.95299505952335,80.98899355233169,72.07114304668073,High,-1,True,-0.006421904145566648
2025-09-29,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,186,19,19,22,94,0.9491525423728812,41.5,0.52,0,government,"District Government Hospital, Agartala",7.24,9.24,110,0.18,26.02,4.39,0.294,0.488,0.266,0.151,LOW,0,23.8315,91.2868,0.8380952380952381,0.8469696969696969,0.4152823920265781,0.0714291842425109,0.03269816059131002,0.0,0.2751637879690292,0.2751637879690292,196.0,195.73949169321358,82.02837937471503,73.16071065292928,High,1,False,0.03264251562738851
2025-09-30,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,192,26,22,20,96,0.6779661016949153,35.8,1.22,0,government,"District Government Hospital, Agartala",7.39,3.43,289,0.24,34.0,5.54,0.078,0.272,0.528,0.091,LOW,0,23.8315,91.2868,0.8666666666666667,0.8712121212121211,0.47176079734219273,0.07961835529304861,0.08022707665551583,0.0,0.1021441334127457,0.10214413341274575,193.0,196.69698864388883,82.10704909134847,73.2431785613716,High,1,False,0.013654780465358729
2025-10-01,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,196,22,22,25,76,0.7457627118644067,28.8,0.55,0,government,"District Government Hospital, Agartala",7.25,6.41,234,0.24,26.67,6.1,0.466,0.297,0.533,0.127,LOW,0,23.8315,91.2868,0.8857142857142858,0.8696969696969697,0.46511627906976744,0.07855633802816901,0.06593809020248446,0.0,0.19088743299583086,0.19088743299583089,198.0,196.02239764089768,82.29597609239192,73.44122700098819,High,1,False,0.016591635803388183
2025-10-02,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,193,27,27,22,116,0.9152542372881355,30.3,1.2,0,government,"District Government Hospital, Agartala",7.48,4.56,231,0.13,24.59,4.22,0.491,0.315,0.482,0.099,LOW,0,23.8315,91.2868,0.8714285714285714,0.8803030303030303,0.4418604651162791,0.07519689565967232,0.06463921612194878,0.0,0.13579511614055986,0.13579511614055984,185.0,193.64650815923554,80.75573090875827,71.8266184296307,High,1,False,0.02300993597003881
2025-10-03,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,198,11,31,18,104,0.7457627118644067,16.0,1.23,0,government,"District Government Hospital, Agartala",7.4,6.13,184,0.21,30.25,6.61,0.113,0.435,0.55,0.116,LOW,0,23.8315,91.2868,0.8952380952380953,0.8893939393939393,0.4684385382059801,0.07902795008392323,0.05216618456081734,0.0,0.18254913639070877,0.1825491363907088,186.0,193.29955365660703,80.71029836337443,71.7789923906242,High,1,False,0.0060705656310537925
2025-10-04,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,185,20,18,19,74,0.7288135593220338,50.7,1.55,0,government,"District Government Hospital, Agartala",7.17,5.06,67,0.09,26.25,4.96,0.455,0.283,0.466,0.084,LOW,0,23.8315,91.2868,0.8333333333333334,0.8727272727272727,0.40863787375415284,0.07051643192488263,0.019746452098703456,0.0,0.1506849315068493,0.15068493150684925,178.0,188.74236256104848,77.59618790244899,68.51453196848394,High-Mod,1,False,0.02793985115717379
2025-10-05,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,186,15,26,25,107,0.7288135593220338,44.0,0.62,0,government,"District Government Hospital, Agartala",7.59,6.7,185,0.26,29.27,8.37,0.251,0.172,0.655,0.124,LOW,0,23.8315,91.2868,0.8380952380952381,0.8621212121212121,0.4551495016611296,0.07712219261515037,0.05262291641807012,0.0,0.19952352590827876,0.19952352590827882,187.0,191.03823270644116,79.98921583420136,71.02309583296555,High,1,False,0.050008957981576285
2025-10-06,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,178,21,20,34,96,0.9999999999999999,31.1,1.61,0,government,"District Government Hospital, Agartala",7.32,7.62,102,0.19,26.58,5.55,0.201,0.323,0.167,0.126,LOW,0,23.8315,91.2868,0.8,0.8318181818181818,0.42524916943521596,0.07262153566560654,0.030070237953182928,0.0,0.22692078618225137,0.2269207861822513,188.0,187.0812602452501,78.00381909851804,68.94184369139619,High-Mod,1,False,0.04917625944895626
2025-10-07,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,187,18,15,32,72,0.4237288135593221,37.0,0.46,0,government,"District Government Hospital, Agartala",7.13,3.65,141,0.12,22.34,6.92,0.499,0.284,0.408,0.073,LOW,0,23.8315,91.2868,0.8428571428571429,0.8348484848484847,0.4817275747508306,0.08131982908688083,0.039653377552657895,0.0,0.10869565217391304,0.10869565217391308,192.0,188.4535247057365,77.65796773061346,68.57929454080117,High-Mod,1,False,0.03880563006477017
2025-10-08,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,188,22,23,21,92,0.864406779661017,20.5,1.22,0,government,"District Government Hospital, Agartala",7.62,0.1,35,0.25,29.28,6.4,0.296,0.592,0.636,0.006,LOW,0,23.8315,91.2868,0.8476190476190476,0.8378787878787879,0.4551495016611296,0.07711681855840928,0.009669548329225489,0.0,0.002977963073257892,0.0029779630732579276,193.0,193.78127867904442,77.83237755222711,68.76212490826383,High-Mod,1,False,0.024012207637492622
2025-10-09,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,192,26,28,18,104,0.694915254237288,46.7,1.45,0,government,"District Government Hospital, Agartala",7.36,6.28,107,0.21,25.38,5.9,0.439,0.424,0.465,0.107,LOW,0,23.8315,91.2868,0.8666666666666667,0.859090909090909,0.46511627906976744,0.07859754270302667,0.031079711367411292,0.0,0.1870160810005956,0.18701608100059564,199.0,195.91099284431715,81.16694928875516,72.25769052652657,High,1,False,0.020277491534808734
2025-10-10,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,193,23,27,20,105,0.694915254237288,29.2,1.28,0,government,"District Government Hospital, Agartala",7.33,5.13,213,0.25,28.95,5.48,0.245,0.354,0.416,0.105,LOW,0,23.8315,91.2868,0.8714285714285714,0.8681818181818182,0.4551495016611296,0.07710387323943663,0.05983735956866957,0.0,0.15276950565812986,0.15276950565812986,200.0,199.13578059764953,82.9771280827012,74.15526516428632,High,1,False,0.025244830338975843
2025-10-11,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,199,26,25,33,71,0.8813559322033898,32.7,1.11,0,government,"District Government Hospital, Agartala",7.33,4.09,0,0.18,26.39,5.44,0.372,0.392,0.378,0.06,LOW,0,23.8315,91.2868,0.9,0.8848484848484848,0.47176079734219273,0.07950959643873605,0.0011233134867568335,0.0,0.12179868969624777,0.12179868969624774,185.0,192.37562676943475,78.20193700933908,69.14952678000448,High-Mod,-1,True,-0.03331851687912468
2025-10-12,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,200,27,15,19,80,0.983050847457627,13.5,1.09,0,government,"District Government Hospital, Agartala",7.42,6.79,182,0.21,25.07,7.3,0.446,0.334,0.515,0.125,LOW,0,23.8315,91.2868,0.9047619047619048,0.896969696969697,0.4551495016611296,0.07708684266402435,0.05180134770187067,0.0,0.20220369267421084,0.2022036926742108,187.0,192.01001828667623,80.38008467246873,71.43283590762962,High,1,False,0.00916993157106516
2025-10-13,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,185,20,12,36,97,0.7457627118644067,19.2,0.92,0,government,"District Government Hospital, Agartala",7.4,9.75,103,0.26,27.12,6.94,0.575,0.628,0.222,0.158,LOW,0,23.8315,91.2868,0.8333333333333334,0.8848484848484848,0.4019933554817276,0.06964788732394367,0.030939811519243767,0.0,0.29035139964264445,0.29035139964264445,185.0,193.68463897000873,81.30556393000725,72.40299751417984,High,1,False,0.0301742868892223
2025-10-14,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,187,14,25,25,108,0.9999999999999999,37.5,0.94,0,government,"District Government Hospital, Agartala",7.23,6.03,88,0.14,29.87,5.7,0.306,0.159,0.438,0.101,LOW,0,23.8315,91.2868,0.8428571428571429,0.8666666666666666,0.4584717607973422,0.07762466692044157,0.02578134750985128,0.0,0.17957117331745087,0.17957117331745087,185.0,191.3614603714502,79.11373630705013,70.10534795515588,High,1,False,0.04502726561333975
