date,hospital_id,hospital_name,hospital_type,city,state,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,TDS_ppm,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,conductivity_uS_cm,contamination_event_flag,water_risk_score
2025-10-31,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,3.13,336,359,0.47,25.0,6.6,433,0,0.253
2025-11-01,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.05,1.43,259,430,0.4,25.25,8.32,349,0,0.187
2025-11-02,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,2.22,124,411,0.4,24.99,8.2,663,0,0.146
2025-11-03,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,1.85,216,341,0.44,24.42,7.86,470,0,0.168
2025-11-04,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.33,1.91,351,353,0.35,24.26,7.55,530,0,0.239
2025-11-05,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.37,1.03,335,418,0.4,27.97,7.36,417,0,0.209
2025-11-06,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.06,2.72,316,369,0.39,24.07,9.29,513,0,0.247
2025-11-07,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,2.18,301,379,0.31,26.14,8.95,598,0,0.223
2025-11-08,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.47,1.32,168,366,0.38,26.95,6.81,611,0,0.173
2025-11-09,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,1.38,166,313,0.44,25.63,7.05,413,0,0.126
2025-11-10,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.23,2.84,234,318,0.35,25.18,6.2,500,0,0.2
2025-11-11,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,2.16,424,410,0.35,24.09,9.37,508,0,0.259
2025-11-12,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,1.66,275,366,0.33,24.82,7.8,466,0,0.193
2025-11-13,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.19,1.75,234,424,0.16,26.95,8.57,359,0,0.182
2025-11-14,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.23,1.42,131,344,0.28,27.81,8.38,593,0,0.123
2025-11-15,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.36,0.89,210,388,0.27,26.46,7.68,478,0,0.166
2025-11-16,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.36,1.99,225,411,0.29,26.33,8.18,482,0,0.203
2025-11-17,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,0.8,340,364,0.33,26.9,7.4,405,0,0.199
2025-11-18,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.09,2.1,142,432,0.21,27.74,7.95,497,0,0.171
2025-11-19,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,18.040105471042725,1912,409,0.06890890087736146,25.73,6.1997622150711855,500,1,1.0
2025-11-20,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,0.48,136,397,0.39,25.29,7.83,528,0,0.102
2025-11-21,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,1.13,275,337,0.4,23.32,8.44,537,0,0.156
2025-11-22,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,2.36,407,406,0.22,23.87,7.45,506,0,0.284
2025-11-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.34,1.17,274,344,0.32,23.7,7.27,409,0,0.191
2025-11-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.16,2.41,172,463,0.41,25.77,7.31,553,0,0.158
2025-11-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,1.76,488,368,0.46,24.62,7.8,628,0,0.254
2025-11-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,2.94,321,351,0.42,26.8,8.19,394,0,0.225
2025-11-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.19,1.5,251,393,0.39,23.8,8.05,547,0,0.158
2025-11-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.34,2.43,332,387,0.37,23.37,8.08,518,0,0.247
2025-11-29,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,0.78,160,408,0.37,26.42,7.84,506,0,0.122
2025-11-30,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.39,1.31,266,355,0.34,25.13,7.95,470,0,0.2
2025-12-01,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.43,1.05,240,355,0.49,25.79,8.44,400,0,0.174
2025-12-02,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,2.3,265,408,0.33,27.36,9.2,479,0,0.214
2025-12-03,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.22,2.69,399,353,0.34,25.17,7.01,440,0,0.26
2025-12-04,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.15,1.14,254,379,0.5,24.23,8.41,489,0,0.146
2025-12-05,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,2.15,156,384,0.39,26.17,7.99,676,0,0.152
2025-12-06,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,1.3,201,351,0.32,27.08,8.67,464,0,0.137
2025-12-07,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.17,2.01,208,393,0.39,23.56,8.75,630,0,0.161
2025-12-08,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,1.4,283,383,0.42,28.14,7.72,448,0,0.163
2025-12-09,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.11,11.698184798065423,787,434,0.0,25.82,5.491917183265223,587,1,0.734
2025-12-10,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.58,1.3,213,407,0.43,27.93,8.17,479,0,0.207
2025-12-11,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.35,2.45,331,389,0.46,27.05,8.65,549,0,0.24
2025-12-12,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,1.78,366,342,0.4,25.02,7.84,593,0,0.22
2025-12-13,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,1.71,135,397,0.42,28.34,7.64,519,0,0.133
2025-12-14,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,2.78,249,381,0.42,25.77,7.55,518,0,0.211
2025-12-15,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.4,0.96,269,346,0.47,23.55,7.49,530,0,0.179
2025-12-16,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.46,1.63,207,437,0.26,22.67,8.09,469,0,0.208
2025-12-17,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.15,2.17,279,351,0.27,26.67,8.21,497,0,0.21
2025-12-18,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.5,0.93,120,347,0.37,25.85,7.68,529,0,0.149
2025-12-19,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.12,2.69,250,410,0.4,26.13,8.16,535,0,0.207
2025-12-20,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.35,2.61,275,396,0.36,27.4,7.42,630,0,0.232
2025-12-21,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,0.67,269,347,0.44,24.68,7.55,372,0,0.148
2025-12-22,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.22,0.02,115,397,0.43,26.08,7.24,501,0,0.058
2025-12-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,0.86,393,402,0.35,25.57,7.95,361,0,0.212
2025-12-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.24,1.2,167,361,0.52,26.36,7.48,544,0,0.111
2025-12-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.44,2.32,263,348,0.43,26.04,8.36,548,0,0.23
2025-12-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.4,1.3,376,378,0.54,24.64,8.86,518,0,0.229
2025-12-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,1.34,228,386,0.41,24.79,7.81,654,0,0.14
2025-12-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.48,1.98,261,375,0.42,24.2,7.67,387,0,0.228
2025-12-29,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.32,2.13,214,426,0.27,23.63,7.96,577,0,0.197
2025-12-30,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.48,1.35,354,370,0.36,26.68,8.21,394,0,0.252
2025-12-31,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.45,2.64,201,385,0.41,25.87,7.49,457,0,0.219
2026-01-01,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,2.5,306,358,0.43,21.83,8.51,382,0,0.218
2026-01-02,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.23,0.89,141,412,0.33,25.98,7.79,537,0,0.106
2026-01-03,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,0.78,347,354,0.25,24.98,8.72,563,0,0.203
2026-01-04,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.23,1.43,228,444,0.4,26.09,8.44,521,0,0.15
2026-01-05,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.24,1.54,251,370,0.43,25.6,8.26,498,0,0.162
2026-01-06,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,0.28,340,383,0.45,21.77,9.07,494,0,0.165
2026-01-07,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.41,0.95,312,334,0.32,28.02,7.71,519,0,0.213
2026-01-08,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.38,2.02,271,384,0.56,25.46,7.94,577,0,0.205
2026-01-09,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.41,2.51,315,331,0.5,24.04,8.0,451,0,0.243
2026-01-10,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,1.91,286,386,0.5,26.12,7.67,571,0,0.186
2026-01-11,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.42,0.82,311,395,0.35,27.32,7.73,513,0,0.208
2026-01-12,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,1.69,159,320,0.5,24.43,7.23,353,0,0.124
2026-01-13,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,0.75,405,406,0.32,28.46,8.41,481,0,0.203
2026-01-14,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,6.97,3.28,132,313,0.45,28.7,8.65,543,0,0.202
2026-01-15,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.35,2.27,326,381,0.38,25.45,7.37,484,0,0.24
2026-01-16,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.07,1.61,168,332,0.39,27.34,8.37,394,0,0.153
2026-01-17,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.16,2.33,169,363,0.42,24.27,7.88,411,0,0.154
2026-01-18,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,1.9,114,386,0.37,26.25,7.96,599,0,0.116
2026-01-19,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,1.37,268,390,0.38,25.58,7.4,458,0,0.178
2026-01-20,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.11,2.9,145,347,0.31,26.7,7.64,591,0,0.182
2026-01-21,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.19,1.87,182,446,0.28,25.93,8.2,533,0,0.153
2026-01-22,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,1.58,261,366,0.45,28.41,7.49,408,0,0.167
2026-01-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,3.48,185,428,0.51,24.81,8.16,618,0,0.19
2026-01-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.23,1.53,205,335,0.32,23.94,7.84,450,0,0.152
2026-01-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,0.59,287,400,0.21,26.02,8.56,419,0,0.181
2026-01-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.48,1.97,194,369,0.42,25.63,8.14,439,0,0.201
2026-01-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,0.69,247,339,0.31,27.14,8.48,547,0,0.156
2026-01-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.14,1.45,366,376,0.56,26.04,7.94,482,0,0.202
