date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag,tenant_profile
28-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,122,12,22,34,54,0.9,41.9,0.68,1,default
29-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,6,22,20,59,0.83,34.3,1.31,1,default
30-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,116,12,25,19,60,0.95,38.0,0.69,1,default
01-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,2,9,11,65,0.79,47.7,2.45,1,default
02-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,98,6,16,20,56,0.86,47.5,1.6,1,default
03-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,98,3,7,9,79,0.68,47.2,1.85,1,default
04-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,94,5,6,13,70,0.86,19.8,1.98,1,default
05-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,84,3,7,5,69,0.88,38.1,2.65,1,default
06-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,5,6,17,69,0.91,36.8,1.06,1,default
07-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,3,16,13,70,0.79,28.9,2.39,1,default
08-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,106,5,10,19,72,0.81,32.2,1.91,1,default
09-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,111,5,18,24,64,0.73,30.3,1.88,1,default
10-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,80,2,6,11,61,0.92,40.6,2.05,1,default
11-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,113,4,12,24,73,1.0,43.3,2.27,1,default
12-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,80,3,16,12,49,0.79,44.1,1.6,1,default
13-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,99,4,6,10,79,0.61,34.5,1.23,0,default
14-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,7,14,26,62,0.67,41.5,1.16,1,default
15-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,128,9,22,36,61,0.89,51.2,1.39,1,default
16-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,91,4,13,15,59,0.84,41.3,2.48,1,default
17-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,85,3,7,11,64,0.89,46.6,1.54,1,default
18-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,7,17,14,59,0.76,48.3,2.03,1,default
19-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,101,8,14,20,59,0.75,26.9,2.74,1,default
20-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,91,4,4,8,75,0.93,17.1,2.74,0,default
21-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,94,7,3,11,73,0.8,15.2,2.15,1,default
22-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,78,3,4,8,63,0.9,21.4,0.82,0,default
23-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,80,0,8,9,63,0.8,45.5,1.01,1,default
24-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,129,5,15,13,96,0.79,18.4,2.58,1,default
25-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,91,1,5,15,70,0.75,30.3,1.19,1,default
26-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,105,9,14,11,71,0.97,49.1,0.91,1,default
27-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,91,5,6,11,69,0.93,49.5,0.78,1,default
28-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,92,4,11,12,65,0.99,39.6,1.85,1,default
29-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,84,6,7,15,56,0.9,33.1,1.01,1,default
30-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,1,9,13,80,0.73,32.9,2.67,1,default
31-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,108,1,15,20,72,0.65,48.1,1.97,1,default
01-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,11,29,13,64,0.84,61.4,1.36,1,default
02-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,7,17,13,73,0.67,25.1,2.36,1,default
03-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,2,1,16,68,0.98,42.2,1.64,1,default
04-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,3,13,15,79,0.97,44.4,1.62,1,default
05-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,96,1,2,8,85,0.81,36.2,2.38,0,default
06-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,98,6,12,12,68,0.86,58.3,1.71,1,default
07-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,11,11,22,65,0.84,35.2,2.35,1,default
08-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,83,2,5,15,61,0.61,36.2,1.08,1,default
09-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,100,7,10,22,61,0.99,40.8,1.04,1,default
10-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,5,9,13,60,0.75,17.7,1.4,1,default
11-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,115,9,20,11,75,0.94,44.9,2.33,1,default
12-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,6,10,11,60,0.64,35.9,1.47,1,default
13-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,1,16,19,71,0.97,32.5,1.31,1,default
14-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,92,2,5,9,76,0.64,40.6,0.8,0,default
15-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,101,4,17,19,61,0.78,33.2,2.49,1,default
16-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,8,8,17,84,0.93,42.9,0.88,1,default
17-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,5,9,19,69,0.96,44.2,2.34,1,default
18-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,86,3,5,14,64,0.66,50.0,2.52,1,default
19-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,108,6,14,21,67,0.64,40.8,2.08,1,default
20-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,118,6,6,22,84,0.83,36.8,0.8,1,default
21-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,113,8,8,13,84,0.81,42.5,1.6,1,default
22-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,94,5,10,14,65,0.62,54.5,2.78,1,default
23-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,113,8,15,13,77,0.99,41.0,0.81,1,default
24-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,92,6,2,14,70,0.91,47.5,2.41,1,default
25-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,4,14,20,69,0.76,32.7,0.94,1,default
26-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,104,11,16,11,66,0.96,57.8,0.77,1,default
27-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,111,9,12,15,75,0.9,32.9,2.37,1,default
28-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,8,13,24,62,0.79,54.5,1.2,1,default
29-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,0,9,10,68,0.73,40.0,1.43,1,default
30-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,111,6,7,19,79,0.65,52.5,2.41,1,default
01-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,119,10,9,23,77,0.76,43.8,2.34,1,default
02-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,90,2,6,15,67,0.81,49.7,1.9,1,default
03-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,5,12,12,74,0.92,40.0,0.67,1,default
04-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,94,2,9,11,72,0.95,34.5,2.27,1,default
05-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,108,4,14,6,84,1.0,57.6,2.09,1,default
06-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,6,10,20,66,0.8,32.5,2.74,1,default
07-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,115,6,12,14,83,0.84,41.8,1.26,1,default
08-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,100,2,15,15,68,0.97,38.9,0.91,1,default
09-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,4,17,20,76,0.84,34.6,1.41,1,default
10-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,5,11,15,79,0.95,32.1,2.55,1,default
11-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,3,12,11,77,0.86,21.6,1.04,1,default
12-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,91,5,14,14,58,0.68,37.0,1.43,1,default
13-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,114,8,18,20,68,0.76,26.2,2.76,1,default
14-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,89,8,8,15,58,0.9,29.2,2.26,1,default
15-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,2,12,15,73,0.65,34.8,1.12,1,default
16-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,99,6,6,18,69,0.83,50.5,1.7,1,default
17-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,96,8,14,14,60,0.83,52.9,1.98,1,default
18-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,7,3,13,74,0.69,32.8,2.61,1,default
19-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,120,4,13,16,87,0.74,19.8,2.43,1,default
20-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,87,3,12,15,57,0.71,57.7,1.53,1,default
21-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,122,3,18,14,87,0.87,30.4,1.85,1,default
22-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,105,5,22,18,60,0.74,44.5,1.82,1,default
23-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,3,12,17,70,0.79,42.6,2.05,1,default
24-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,6,17,19,60,0.88,24.1,2.35,1,default
25-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,93,3,4,13,73,0.78,42.3,0.69,1,default
26-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,6,13,9,75,0.96,48.6,1.48,1,default
27-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,3,10,19,65,0.78,51.1,2.15,1,default
28-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,5,11,16,70,0.88,49.4,1.03,1,default
29-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,2,9,10,76,0.72,34.1,2.05,1,default
30-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,93,4,5,16,68,0.96,36.3,2.18,1,default
31-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,4,7,17,75,0.87,26.8,1.84,1,default
01-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,95,2,10,13,70,0.66,44.1,1.42,1,default
02-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,99,5,10,14,70,0.84,45.8,1.12,1,default
03-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,72,4,1,10,57,0.7,38.7,1.54,0,default
04-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,8,21,16,64,0.65,37.9,1.51,1,default
05-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,104,6,12,20,66,0.8,27.6,1.58,1,default
06-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,3,11,17,71,0.84,21.2,1.81,1,default
07-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,155,51,50,62,0,1.0,40.6,2.54,1,default
08-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,163,60,42,71,0,1.0,41.5,0.67,1,default
09-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,141,46,31,59,5,1.0,38.4,2.03,1,default
10-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,153,48,47,54,4,0.8,36.9,0.93,1,default
11-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,151,55,32,55,9,1.0,29.2,2.66,1,default
12-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,135,43,27,60,5,1.0,41.7,0.71,1,default
13-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,155,51,37,54,13,1.0,33.2,1.6,1,default
14-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,150,53,37,66,0,0.82,51.8,1.32,1,default
15-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,167,44,48,53,22,0.92,43.3,1.38,1,default
16-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,147,38,28,47,34,0.95,32.3,1.69,1,default
17-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,157,61,34,51,11,1.0,44.1,2.14,1,default
18-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,128,43,31,53,1,0.97,40.2,1.91,1,default
19-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,100,4,3,17,76,0.8,34.4,2.74,1,default
20-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,167,57,37,69,4,1.0,43.6,1.32,1,default
21-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,155,61,42,63,0,1.0,21.9,0.86,1,default
22-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,143,50,35,62,0,1.0,54.9,1.07,1,default
23-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,161,62,45,61,0,0.78,47.6,1.06,1,default
24-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,140,49,35,57,0,0.82,23.0,1.19,1,default
25-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,140,51,47,62,0,0.96,50.4,2.19,1,default
26-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,165,42,46,52,25,0.94,31.0,1.77,1,default
27-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,150,38,47,61,4,1.0,44.7,0.65,1,default
28-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,168,65,47,60,0,0.98,42.1,1.74,1,default
29-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,150,40,51,52,7,1.0,36.5,1.09,1,default
30-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,3,10,14,83,0.92,37.0,1.09,1,default
31-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,171,49,55,57,10,0.98,33.6,1.9,1,default
01-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,148,51,50,63,0,1.0,29.6,2.63,1,default
02-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,7,19,18,66,0.67,36.1,2.04,1,default
03-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,115,4,21,22,68,0.76,50.3,2.24,1,default
04-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,105,5,10,9,81,0.68,18.0,1.75,1,default
05-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,8,19,19,63,1.0,40.4,2.34,1,default
06-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,116,8,12,22,74,1.0,44.2,2.12,1,default
07-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,1,16,23,69,0.8,46.2,2.12,1,default
08-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,84,0,8,12,64,0.72,25.5,2.64,1,default
09-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,7,10,16,74,0.67,39.5,1.4,1,default
10-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,10,10,18,79,0.7,37.5,1.64,1,default
11-02-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,86,0,15,10,61,0.91,29.3,0.73,1,default
