date,hospital_id,hospital_name,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,cholera_water_risk,typhoid_water_risk,gastro_water_risk,water_risk_score,water_risk_level,contamination_event_flag
18-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.45,1.0,175,0.15,25.84,6.63,0.213,0.367,0.433,0.311,MEDIUM,0
19-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.58,3.2,236,0.23,26.65,6.72,0.41,0.537,0.537,0.48,MEDIUM,0
20-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.47,2.63,130,0.32,27.02,6.46,0.284,0.357,0.399,0.332,MEDIUM,0
21-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.83,2.52,4,0.24,25.95,6.0,0.171,0.633,0.47,0.393,MEDIUM,0
22-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.46,2.64,130,0.2,25.73,5.69,0.284,0.347,0.52,0.353,MEDIUM,0
23-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.77,2.62,284,0.3,24.89,7.08,0.411,0.759,0.418,0.535,MEDIUM,0
24-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.73,2.22,119,0.14,26.61,7.3,0.247,0.609,0.545,0.433,MEDIUM,0
25-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.58,2.04,157,0.31,24.31,6.18,0.267,0.485,0.36,0.362,MEDIUM,0
26-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.38,1.01,227,0.23,25.26,5.38,0.257,0.331,0.354,0.302,MEDIUM,0
27-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.4,1.7,85,0.16,27.3,6.91,0.184,0.257,0.482,0.269,LOW,0
28-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.77,3.27,170,0.1,26.91,5.15,0.36,0.683,0.673,0.536,MEDIUM,0
29-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.76,1.99,85,0.1,26.13,6.96,0.203,0.617,0.566,0.421,MEDIUM,0
30-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.77,2.11,163,0.26,25.85,7.04,0.276,0.679,0.416,0.445,MEDIUM,0
01-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,0.81,64,0.18,27.5,6.92,0.107,0.473,0.388,0.291,LOW,0
02-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,1.27,117,0.12,26.9,6.28,0.182,0.558,0.486,0.374,MEDIUM,0
03-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.44,0.06,106,0.25,27.28,7.89,0.092,0.311,0.255,0.201,LOW,0
04-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.36,1.17,102,0.23,25.39,6.97,0.163,0.228,0.367,0.227,LOW,0
05-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.42,1.04,103,0.39,25.91,5.54,0.155,0.289,0.197,0.21,LOW,0
06-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.34,1.25,113,0.14,26.23,6.35,0.177,0.215,0.464,0.248,LOW,0
07-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.71,0.18,116,0.1,24.84,6.41,0.109,0.587,0.415,0.337,MEDIUM,0
08-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.6,2.0,45,0.15,24.8,7.57,0.171,0.43,0.517,0.331,MEDIUM,0
09-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.67,2.54,39,0.18,26.54,6.99,0.202,0.496,0.532,0.371,MEDIUM,0
10-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.43,1.16,39,0.12,26.14,6.78,0.11,0.256,0.477,0.234,LOW,0
11-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.66,1.7,13,0.11,24.21,7.43,0.124,0.469,0.532,0.326,MEDIUM,0
12-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.74,1.12,63,0.24,26.24,6.61,0.127,0.582,0.353,0.332,MEDIUM,0
13-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.41,0.52,138,0.24,27.12,6.75,0.15,0.302,0.303,0.234,LOW,0
14-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.74,1.87,69,0.08,26.65,6.18,0.182,0.586,0.576,0.402,MEDIUM,0
15-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.72,1.99,99,0.01,24.79,7.18,0.215,0.586,0.656,0.433,MEDIUM,0
16-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.64,0.14,145,0.13,26.88,6.92,0.13,0.537,0.382,0.323,MEDIUM,0
17-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.49,0.47,130,0.21,25.07,7.28,0.14,0.377,0.329,0.261,LOW,0
18-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.59,0.95,188,0.23,26.61,7.12,0.22,0.515,0.349,0.349,MEDIUM,0
19-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,1.38,146,0.08,24.37,6.41,0.214,0.527,0.535,0.388,MEDIUM,0
20-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.28,0.82,108,0.25,25.86,6.38,0.145,0.152,0.318,0.182,LOW,0
21-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.23,1.92,147,0.26,26.61,6.15,0.251,0.128,0.4,0.238,LOW,0
22-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.37,1.09,80,0.24,26.73,5.49,0.139,0.223,0.351,0.211,LOW,0
23-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.61,0.63,1,0.17,26.7,6.4,0.043,0.411,0.382,0.24,LOW,0
24-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.69,1.27,84,0.27,27.27,7.49,0.155,0.546,0.336,0.328,MEDIUM,0
25-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.38,0.37,44,0.09,27.34,7.33,0.061,0.209,0.441,0.189,LOW,0
26-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.47,0.89,224,0.22,26.74,6.74,0.246,0.419,0.354,0.328,MEDIUM,0
27-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.4,1.63,63,0.27,27.91,7.18,0.161,0.242,0.366,0.23,LOW,0
28-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.57,0.98,78,0.19,24.71,5.74,0.13,0.422,0.392,0.285,LOW,0
29-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.5,1.57,124,0.2,25.28,7.29,0.208,0.383,0.431,0.314,MEDIUM,0
30-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.62,0.47,14,0.12,27.32,6.46,0.043,0.429,0.419,0.253,LOW,0
31-10-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.74,0.61,1,0.1,27.43,5.16,0.041,0.541,0.451,0.298,LOW,0
01-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.83,1.06,257,0.21,24.94,6.31,0.285,0.801,0.378,0.484,MEDIUM,0
02-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.59,0.34,210,0.18,24.9,8.08,0.198,0.53,0.348,0.344,MEDIUM,0
03-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.29,1.55,5,0.14,26.68,7.02,0.107,0.093,0.489,0.179,LOW,0
04-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.69,0.96,63,0.24,26.76,6.48,0.116,0.532,0.34,0.307,MEDIUM,0
05-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.28,0.78,27,0.27,26.34,6.77,0.075,0.098,0.295,0.127,LOW,0
06-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.55,1.12,148,0.25,27.46,6.2,0.198,0.449,0.343,0.315,MEDIUM,0
07-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.6,2.74,108,0.18,27.86,7.45,0.273,0.472,0.548,0.398,MEDIUM,0
08-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.48,1.11,23,0.16,25.34,5.72,0.093,0.295,0.432,0.232,LOW,0
09-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.56,1.8,130,0.08,25.25,5.72,0.228,0.447,0.57,0.373,MEDIUM,0
10-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.45,0.5,155,0.16,26.7,5.67,0.163,0.353,0.382,0.273,LOW,0
11-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.7,1.38,143,0.37,28.47,5.94,0.211,0.595,0.245,0.352,MEDIUM,0
12-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.72,1.77,99,0.26,25.67,6.45,0.201,0.586,0.387,0.373,MEDIUM,0
13-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,0.48,12,0.12,27.11,6.68,0.042,0.438,0.42,0.256,LOW,0
14-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.34,0.02,92,0.2,26.53,5.67,0.078,0.201,0.302,0.166,LOW,0
15-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,0.91,85,0.1,27.04,5.49,0.132,0.487,0.476,0.325,MEDIUM,0
16-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.46,2.19,137,0.23,27.89,6.56,0.26,0.351,0.453,0.331,MEDIUM,0
17-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.48,1.6,56,0.0,27.71,6.1,0.153,0.317,0.633,0.307,MEDIUM,0
18-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.39,1.26,24,0.16,25.96,6.92,0.104,0.206,0.445,0.208,LOW,0
19-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,2.31,32,0.25,25.66,6.57,0.181,0.451,0.443,0.328,MEDIUM,0
20-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.36,1.15,126,0.08,26.56,6.11,0.182,0.244,0.516,0.27,LOW,0
21-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.37,1.99,129,0.35,27.16,6.16,0.24,0.256,0.316,0.261,LOW,0
22-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.52,0.84,135,0.13,24.18,6.63,0.169,0.41,0.44,0.307,MEDIUM,0
23-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.59,1.55,132,0.33,24.43,6.96,0.213,0.478,0.299,0.323,MEDIUM,0
24-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.22,1.43,116,0.12,25.29,6.94,0.192,0.097,0.499,0.22,LOW,0
25-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,1.68,21,0.21,28.26,7.1,0.13,0.494,0.43,0.317,MEDIUM,0
26-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.58,1.99,193,0.36,26.79,7.88,0.293,0.509,0.306,0.371,MEDIUM,0
27-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.54,2.05,133,0.25,26.06,6.67,0.247,0.429,0.421,0.346,MEDIUM,0
28-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.52,1.77,217,0.07,25.74,6.47,0.299,0.465,0.578,0.413,MEDIUM,0
29-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.54,0.25,25,0.24,24.16,7.0,0.037,0.357,0.281,0.198,LOW,0
30-11-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.45,1.65,109,0.24,27.28,7.11,0.201,0.323,0.397,0.283,LOW,0
01-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.37,1.97,139,0.17,28.33,6.61,0.247,0.263,0.494,0.302,MEDIUM,0
02-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.47,0.81,34,0.19,26.91,6.3,0.082,0.293,0.378,0.215,LOW,0
03-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.6,1.59,146,0.22,27.32,6.77,0.228,0.497,0.413,0.359,MEDIUM,0
04-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.64,0.67,60,0.15,24.72,6.0,0.095,0.48,0.406,0.292,LOW,0
05-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.65,0.11,137,0.34,24.18,5.95,0.121,0.541,0.169,0.278,LOW,0
06-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.5,0.58,148,0.08,25.84,6.43,0.162,0.399,0.468,0.306,MEDIUM,0
07-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.56,1.2,97,0.2,27.19,7.11,0.161,0.425,0.4,0.301,MEDIUM,0
08-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.66,0.71,33,0.21,24.37,7.17,0.075,0.482,0.349,0.272,LOW,0
09-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.73,0.48,118,0.07,24.9,5.62,0.13,0.609,0.47,0.366,MEDIUM,0
10-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.42,0.39,180,0.08,26.77,7.23,0.176,0.34,0.453,0.289,LOW,0
11-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.54,0.8,46,0.25,27.7,6.51,0.092,0.371,0.317,0.234,LOW,0
12-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.76,1.21,117,0.24,27.59,7.08,0.178,0.638,0.361,0.376,MEDIUM,0
13-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.6,1.9,147,0.15,25.24,7.27,0.249,0.498,0.508,0.388,MEDIUM,0
14-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.47,2.95,63,0.27,26.56,6.29,0.249,0.312,0.476,0.316,MEDIUM,0
15-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.55,0.44,97,0.15,25.81,6.19,0.11,0.415,0.387,0.272,LOW,0
16-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.39,2.67,27,0.24,26.17,7.35,0.2,0.208,0.483,0.26,LOW,0
17-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.76,2.23,113,0.19,25.57,6.04,0.243,0.635,0.496,0.431,MEDIUM,0
18-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.25,1.41,111,0.29,24.7,7.22,0.186,0.124,0.328,0.193,LOW,0
19-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.65,1.28,51,0.16,25.12,6.45,0.128,0.484,0.447,0.316,MEDIUM,0
20-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.83,1.03,41,0.14,24.53,7.57,0.103,0.657,0.446,0.366,MEDIUM,0
21-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.61,0.8,56,0.23,28.89,6.66,0.1,0.447,0.337,0.269,LOW,0
22-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.77,1.74,68,0.21,25.86,5.6,0.173,0.615,0.435,0.38,MEDIUM,0
23-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.52,0.53,71,0.08,24.73,6.33,0.095,0.367,0.464,0.264,LOW,0
24-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,1.7,64,0.22,27.83,6.46,0.167,0.523,0.422,0.342,MEDIUM,0
25-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.36,1.12,49,0.18,26.44,6.26,0.116,0.193,0.413,0.202,LOW,0
26-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,1.05,97,0.31,27.77,6.93,0.151,0.495,0.278,0.297,LOW,0
27-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,1.8,0,0.19,25.04,7.06,0.12,0.43,0.46,0.296,LOW,0
28-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.64,1.32,97,0.25,25.26,6.31,0.169,0.505,0.36,0.325,MEDIUM,0
29-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.45,0.35,67,0.16,25.99,6.54,0.079,0.295,0.369,0.213,LOW,0
30-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.35,1.4,70,0.16,25.71,6.35,0.152,0.197,0.457,0.228,LOW,0
31-12-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.44,1.57,79,0.11,25.09,6.13,0.17,0.293,0.521,0.283,LOW,0
01-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.56,0.07,101,0.19,24.23,6.1,0.089,0.427,0.316,0.253,LOW,0
02-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.51,0.22,213,0.07,27.58,5.89,0.192,0.452,0.448,0.334,MEDIUM,0
03-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.28,2.4,25,0.23,26.07,6.65,0.181,0.097,0.47,0.209,LOW,0
04-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.7,0.62,201,0.17,28.16,7.37,0.209,0.634,0.382,0.392,MEDIUM,0
05-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,1.31,97,0.15,27.65,6.0,0.168,0.545,0.459,0.358,MEDIUM,0
06-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.54,1.45,48,0.04,24.78,6.05,0.137,0.372,0.581,0.308,MEDIUM,0
07-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.3,28.01,1323,0.052068074,26.07,3.430273615,1.0,0.982,1.0,0.994,HIGH,1
08-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.66,29.42,3344,0.0,25.84,4.162811775,1.0,1.0,1.0,1.0,HIGH,1
09-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.27,27.31,2768,0.0,26.89,3.963257295,1.0,1.0,1.0,1.0,HIGH,1
10-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.26,16.35,2713,0.0,25.2,5.138597265,1.0,1.0,1.0,1.0,HIGH,1
11-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.55,13.81,2571,0.0,25.39,3.006727264,1.0,1.0,1.0,1.0,HIGH,1
12-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,24.89,2860,0.0,26.74,3.68176819,1.0,1.0,1.0,1.0,HIGH,1
13-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.43,29.77,1628,0.0,27.56,3.488022572,1.0,1.0,1.0,1.0,HIGH,1
14-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.63,21.53,1363,0.0,25.35,4.610110659,1.0,1.0,1.0,1.0,HIGH,1
15-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.77,25.85,2367,0.0,28.49,3.305123812,1.0,1.0,1.0,1.0,HIGH,1
16-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.33,14.32,1052,0.0,26.76,3.6545209,1.0,0.831,1.0,0.941,HIGH,1
17-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.62,19.56,1263,0.0,26.0,2.693485414,1.0,1.0,1.0,1.0,HIGH,1
18-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.6,21.24,2649,0.0,25.23,3.93612329,1.0,1.0,1.0,1.0,HIGH,1
19-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.26,0.76,121,0.13,25.91,6.41,0.151,0.141,0.433,0.204,LOW,0
20-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.42,15.17,2328,0.0,26.85,3.44962277,1.0,1.0,1.0,1.0,HIGH,1
21-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.4,23.51,3017,0.0,26.54,3.993157635,1.0,1.0,1.0,1.0,HIGH,1
22-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.54,27.75,1586,0.0,23.82,4.297026714,1.0,1.0,1.0,1.0,HIGH,1
23-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.85,28.68,2876,0.0,24.79,5.128790727,1.0,1.0,1.0,1.0,HIGH,1
24-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.66,23.09,1421,0.0,25.48,4.092402221,1.0,1.0,1.0,1.0,HIGH,1
25-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.69,22.32,1284,0.0,25.77,4.58321948,1.0,1.0,1.0,1.0,HIGH,1
26-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.56,23.14,1015,0.0,24.9,4.045988384,1.0,1.0,1.0,1.0,HIGH,1
27-01-2026,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.4,22.77,2088,0.0,25.95,3.82658605,1.0,1.0,1.0,1.0,HIGH,1
