date,hospital_id,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,TDS_ppm,residual_chlorine_mg_L,water_temp_C,dissolved_oxygen_mg_L,outbreak_label
2025-10-22,PUB_AIIMS_DEL,57,1,1,7,48,0.76,32.4,1.04,7.04,2.64,179,249,0.4,26.6,4.83,0
2025-10-23,PUB_AIIMS_DEL,64,1,1,12,50,0.52,35.5,0.72,7.01,2.67,393,246,0.47,27.1,5.27,0
2025-10-24,PUB_AIIMS_DEL,61,1,2,7,51,0.55,33.0,0.59,7.12,3.14,160,254,0.49,27.0,7.46,0
2025-10-25,PUB_AIIMS_DEL,52,1,1,7,43,0.84,31.3,0.57,6.75,0.17,580,216,0.74,25.6,5.09,0
2025-10-26,PUB_AIIMS_DEL,73,1,1,8,63,0.55,38.4,2.29,7.21,1.76,212,311,0.48,26.3,7.19,0
2025-10-27,PUB_AIIMS_DEL,63,1,2,10,50,0.65,35.3,0.98,7.01,1.62,265,289,0.36,28.1,6.42,0
2025-10-28,PUB_AIIMS_DEL,65,1,1,9,54,0.63,39.9,0.54,7.44,1.01,218,248,0.37,23.6,6.18,0
2025-10-29,PUB_AIIMS_DEL,65,1,2,12,50,0.53,56.5,0.65,7.08,2.49,127,355,0.36,28.2,7.88,0
2025-10-30,PUB_AIIMS_DEL,56,1,1,10,44,0.87,49.7,1.1,7.29,1.89,53,288,0.41,25.0,6.22,0
2025-10-31,PUB_AIIMS_DEL,71,2,2,11,56,0.59,46.6,2.24,7.3,0.88,59,346,0.54,31.0,5.17,0
2025-11-01,PUB_AIIMS_DEL,50,0,1,7,42,0.91,47.4,2.44,7.17,1.63,202,192,0.3,23.1,6.98,0
2025-11-02,PUB_AIIMS_DEL,60,1,1,8,50,0.68,34.1,2.45,7.38,0.55,435,323,0.69,26.5,6.88,0
2025-11-03,PUB_AIIMS_DEL,65,1,2,7,55,0.92,31.4,0.64,7.4,0.53,189,264,0.58,23.2,5.61,0
2025-11-04,PUB_AIIMS_DEL,63,0,2,12,49,0.92,46.6,2.39,7.45,3.7,365,287,0.17,25.3,8.43,0
2025-11-05,PUB_AIIMS_DEL,63,1,2,9,51,0.72,48.8,1.73,7.13,3.69,144,158,0.66,27.1,6.8,0
2025-11-06,PUB_AIIMS_DEL,57,0,1,9,47,0.68,37.9,0.94,6.93,2.51,39,241,0.27,25.3,6.78,0
2025-11-07,PUB_AIIMS_DEL,79,2,2,14,61,0.76,67.5,0.56,7.51,2.03,389,182,0.54,28.6,6.85,0
2025-11-08,PUB_AIIMS_DEL,54,1,1,10,42,0.78,22.6,1.25,6.68,2.75,113,278,0.65,25.8,5.91,0
2025-11-09,PUB_AIIMS_DEL,47,1,1,8,37,0.89,21.7,0.52,7.54,2.27,114,336,0.27,23.2,6.06,0
2025-11-10,PUB_AIIMS_DEL,53,1,1,8,43,0.93,25.4,1.01,6.94,1.11,250,184,0.73,22.7,7.46,0
2025-11-11,PUB_AIIMS_DEL,60,1,1,11,47,0.52,33.5,1.78,7.08,3.58,476,233,0.35,29.4,7.12,0
2025-11-12,PUB_AIIMS_DEL,57,1,1,8,47,0.65,21.3,1.56,7.05,2.07,248,285,0.42,27.2,5.85,0
2025-11-13,PUB_AIIMS_DEL,50,1,1,8,40,0.85,39.7,0.73,7.32,1.95,223,267,0.43,27.0,7.29,0
2025-11-14,PUB_AIIMS_DEL,61,1,1,8,51,0.79,34.7,2.03,7.18,1.67,224,298,0.31,27.6,6.19,0
2025-11-15,PUB_AIIMS_DEL,56,1,1,9,45,0.77,16.4,1.59,7.14,3.17,443,258,0.53,23.6,6.75,0
2025-11-16,PUB_AIIMS_DEL,62,1,1,12,48,0.68,21.7,1.6,7.37,2.09,58,308,0.38,28.6,6.57,0
2025-11-17,PUB_AIIMS_DEL,57,0,2,9,46,0.57,37.0,1.73,7.61,0.78,142,273,0.19,26.1,7.12,0
2025-11-18,PUB_AIIMS_DEL,61,1,1,12,47,0.63,43.1,2.09,7.04,2.09,357,252,0.32,25.1,7.42,0
2025-11-19,PUB_AIIMS_DEL,60,0,1,9,50,0.66,42.8,2.31,7.26,3.33,250,335,0.24,24.3,5.65,0
2025-11-20,PUB_AIIMS_DEL,64,1,2,11,50,0.89,32.1,1.45,6.94,1.76,64,267,0.33,23.9,5.91,0
2025-11-21,PUB_AIIMS_DEL,52,0,1,6,45,0.7,47.2,1.39,7.41,1.57,117,234,0.65,22.7,7.34,0
2025-11-22,PUB_AIIMS_DEL,71,1,2,11,57,0.7,22.5,2.16,7.1,0.31,49,270,0.57,23.3,7.16,0
2025-11-23,PUB_AIIMS_DEL,61,1,1,8,51,0.76,31.7,0.68,7.22,1.86,136,278,0.11,24.6,6.92,0
2025-11-24,PUB_AIIMS_DEL,57,1,1,8,47,0.94,35.2,0.54,7.37,1.98,246,298,0.26,27.5,5.58,0
2025-11-25,PUB_AIIMS_DEL,47,1,1,7,38,0.67,26.3,1.19,7.21,0.76,202,179,0.3,24.9,7.15,0
2025-11-26,PUB_AIIMS_DEL,50,1,1,7,41,0.8,44.8,1.56,7.06,0.52,203,281,0.73,27.2,6.08,0
2025-11-27,PUB_AIIMS_DEL,55,0,1,10,44,0.64,64.3,1.71,7.1,2.71,214,306,0.29,24.4,6.78,0
2025-11-28,PUB_AIIMS_DEL,58,1,1,10,46,0.5,33.4,0.54,6.87,2.24,83,322,0.51,28.3,4.89,0
2025-11-29,PUB_AIIMS_DEL,51,1,1,8,41,0.58,46.5,1.88,7.5,1.4,8,327,0.29,24.5,5.91,0
2025-11-30,PUB_AIIMS_DEL,52,1,1,9,41,0.74,51.5,1.46,7.12,1.57,359,201,0.21,25.5,5.66,0
2025-12-01,PUB_AIIMS_DEL,66,1,1,11,53,0.53,43.1,0.59,6.92,2.94,140,221,0.22,26.0,8.27,0
2025-12-02,PUB_AIIMS_DEL,53,0,1,7,45,0.68,41.2,2.41,7.29,3.09,263,268,0.55,26.7,6.37,0
2025-12-03,PUB_AIIMS_DEL,53,1,1,7,44,0.9,47.8,0.71,7.19,0.49,166,272,0.38,27.6,7.48,0
2025-12-04,PUB_AIIMS_DEL,66,1,1,9,55,0.69,49.9,1.6,7.04,2.24,197,252,0.31,27.9,6.53,0
2025-12-05,PUB_AIIMS_DEL,66,1,2,7,56,0.64,37.5,0.75,7.0,1.14,94,256,0.54,27.7,6.48,0
2025-12-06,PUB_AIIMS_DEL,59,1,1,7,50,0.67,16.7,0.83,7.26,1.17,224,251,0.53,25.9,8.13,0
2025-12-07,PUB_AIIMS_DEL,63,1,1,10,51,0.52,40.3,1.14,7.03,0.76,272,305,0.21,29.5,6.74,0
2025-12-08,PUB_AIIMS_DEL,48,0,1,7,40,0.83,33.0,1.72,7.23,1.58,87,217,0.62,25.6,7.31,0
2025-12-09,PUB_AIIMS_DEL,50,1,1,9,39,0.64,46.2,1.98,7.29,1.14,125,319,0.45,24.0,7.69,0
2025-12-10,PUB_AIIMS_DEL,60,1,2,11,46,0.71,42.8,1.5,7.14,2.77,334,212,0.5,28.4,7.0,0
2025-12-11,PUB_AIIMS_DEL,52,1,1,6,44,0.73,35.4,1.95,7.16,1.58,58,244,0.55,25.5,6.59,0
2025-12-12,PUB_AIIMS_DEL,59,1,1,8,49,0.94,46.5,0.92,7.22,1.01,246,325,0.56,24.2,6.26,0
2025-12-13,PUB_AIIMS_DEL,65,1,1,11,52,0.79,32.6,1.49,7.31,2.77,305,212,0.27,26.6,5.4,0
2025-12-14,PUB_AIIMS_DEL,64,1,2,12,49,0.72,15.8,1.37,7.23,1.59,263,276,0.3,25.0,6.61,0
2025-12-15,PUB_AIIMS_DEL,66,1,1,8,56,0.63,37.8,0.59,7.38,2.73,179,225,0.35,25.9,6.7,0
2025-12-16,PUB_AIIMS_DEL,57,1,1,10,45,0.64,45.8,2.04,7.17,2.13,141,248,0.11,26.7,7.85,0
2025-12-17,PUB_AIIMS_DEL,49,1,1,8,39,0.65,44.1,1.12,7.08,1.9,482,341,0.27,26.5,6.03,0
2025-12-18,PUB_AIIMS_DEL,52,1,1,8,42,0.56,49.5,1.83,7.16,0.66,266,252,0.36,25.8,7.4,0
2025-12-19,PUB_AIIMS_DEL,65,1,1,9,54,0.84,48.7,2.01,7.01,0.13,195,282,0.42,29.2,6.8,0
2025-12-20,PUB_AIIMS_DEL,60,0,1,8,51,0.68,16.7,0.69,6.93,3.26,144,246,0.28,28.5,5.93,0
2025-12-21,PUB_AIIMS_DEL,54,1,1,10,42,0.78,40.1,1.23,7.71,0.76,327,269,0.22,25.8,6.24,0
2025-12-22,PUB_AIIMS_DEL,64,1,2,12,49,0.56,41.0,1.95,7.28,1.14,337,221,0.4,25.0,6.95,0
2025-12-23,PUB_AIIMS_DEL,55,1,1,9,44,0.9,32.3,1.55,7.11,0.67,329,244,0.51,26.5,6.13,0
2025-12-24,PUB_AIIMS_DEL,57,1,1,9,46,0.88,44.2,1.01,7.14,3.94,5,226,0.52,26.9,5.69,0
2025-12-25,PUB_AIIMS_DEL,45,1,1,6,37,0.86,41.0,0.62,7.26,3.46,138,297,0.37,25.2,5.59,0
2025-12-26,PUB_AIIMS_DEL,56,1,1,8,46,0.51,35.0,2.43,7.28,1.9,369,225,0.39,27.7,6.9,0
2025-12-27,PUB_AIIMS_DEL,60,1,1,9,49,0.52,35.8,1.63,7.37,1.62,166,232,0.38,27.3,7.72,0
2025-12-28,PUB_AIIMS_DEL,69,1,2,11,55,0.62,21.1,2.08,7.57,3.24,213,302,0.32,24.4,5.93,0
2025-12-29,PUB_AIIMS_DEL,59,1,1,11,46,0.58,33.3,2.4,7.49,0.88,186,246,0.25,28.8,7.39,0
2025-12-30,PUB_AIIMS_DEL,49,1,1,6,41,0.5,35.8,0.58,7.36,1.79,9,270,0.54,25.6,5.23,0
2025-12-31,PUB_AIIMS_DEL,58,1,1,9,47,0.52,39.2,2.17,7.1,4.48,115,298,0.57,21.2,5.35,0
2026-01-01,PUB_AIIMS_DEL,52,0,1,9,42,0.76,38.9,0.56,7.14,2.85,130,265,0.56,27.5,6.43,0
2026-01-02,PUB_AIIMS_DEL,50,1,1,8,40,0.93,28.2,1.94,7.36,2.84,60,286,0.56,27.6,5.54,0
2026-01-03,PUB_AIIMS_DEL,66,1,2,10,53,0.69,29.9,1.79,7.36,1.79,302,275,0.57,26.1,8.54,0
2026-01-04,PUB_AIIMS_DEL,49,0,1,8,40,0.74,47.2,1.4,7.16,2.21,402,221,0.48,25.7,5.31,0
2026-01-05,PUB_AIIMS_DEL,67,1,2,10,54,0.6,48.5,1.27,7.64,2.08,103,191,0.44,25.3,6.69,0
2026-01-06,PUB_AIIMS_DEL,70,1,1,10,58,0.52,27.7,2.02,7.17,3.4,570,281,0.47,21.3,6.77,0
2026-01-07,PUB_AIIMS_DEL,66,1,2,10,53,0.58,39.4,2.44,6.98,2.27,338,264,0.26,25.8,6.37,0
2026-01-08,PUB_AIIMS_DEL,73,1,1,9,62,0.67,48.7,1.45,7.23,0.9,195,259,0.34,24.3,6.58,0
2026-01-09,PUB_AIIMS_DEL,61,0,2,11,48,0.61,39.2,2.18,7.41,1.98,247,236,0.21,24.3,6.95,0
2026-01-10,PUB_AIIMS_DEL,59,1,2,9,47,0.85,43.6,1.97,6.99,2.29,58,199,0.32,25.6,7.65,0
2026-01-11,PUB_AIIMS_DEL,64,1,2,12,49,0.71,49.4,0.58,7.27,2.26,77,341,0.15,26.3,6.18,0
2026-01-12,PUB_AIIMS_DEL,58,1,2,9,46,0.72,37.2,1.54,6.84,2.22,158,356,0.11,27.5,6.65,0
2026-01-13,PUB_AIIMS_DEL,56,1,1,8,46,0.95,51.9,0.62,7.0,3.52,403,220,0.38,23.8,5.82,0
2026-01-14,PUB_AIIMS_DEL,52,1,2,6,43,0.87,51.1,1.17,7.24,2.08,329,346,0.61,25.8,6.21,0
2026-01-15,PUB_AIIMS_DEL,62,0,2,11,49,0.68,41.1,1.95,7.39,2.18,217,203,0.31,30.2,7.13,0
2026-01-16,PUB_AIIMS_DEL,61,0,1,11,49,0.72,44.3,0.79,7.4,1.28,240,321,0.33,26.9,6.23,0
2026-01-17,PUB_AIIMS_DEL,57,0,1,6,50,0.52,40.6,0.93,7.5,3.15,233,236,0.18,27.2,5.82,0
2026-01-18,PUB_AIIMS_DEL,69,1,2,11,55,0.63,27.7,1.63,7.06,0.52,416,337,0.28,27.1,7.15,0
2026-01-19,PUB_AIIMS_DEL,54,0,1,9,44,0.71,47.0,1.18,7.24,2.69,391,207,0.43,26.4,7.35,0
2026-01-20,PUB_AIIMS_DEL,57,1,1,7,48,0.61,42.1,2.25,7.08,2.08,133,218,0.27,26.8,5.86,0
2026-01-21,PUB_AIIMS_DEL,75,1,2,14,58,0.71,34.9,0.72,7.45,2.0,83,291,0.55,26.4,5.44,0
2026-01-22,PUB_AIIMS_DEL,57,1,2,10,44,0.56,36.4,1.97,7.13,3.15,268,358,0.5,24.4,6.62,0
2026-01-23,PUB_AIIMS_DEL,67,1,1,11,54,0.93,46.1,0.56,7.03,2.29,178,319,0.48,25.5,6.85,0
2026-01-24,PUB_AIIMS_DEL,64,0,1,11,52,0.89,34.6,1.65,7.16,0.3,160,225,0.33,23.7,6.13,0
2026-01-25,PUB_AIIMS_DEL,57,1,1,7,48,0.75,45.9,2.26,7.3,2.96,430,357,0.68,26.7,7.42,0
2026-01-26,PUB_AIIMS_DEL,54,0,2,9,43,0.8,37.6,1.66,7.63,2.15,276,281,0.29,27.7,8.09,0
2026-01-27,PUB_AIIMS_DEL,66,1,2,12,51,0.57,38.6,1.79,7.45,1.54,303,215,0.54,24.6,6.55,0
2026-01-28,PUB_AIIMS_DEL,63,1,1,8,53,0.66,30.1,2.4,7.22,1.9,134,280,0.56,23.4,6.65,0
2026-01-29,PUB_AIIMS_DEL,58,1,1,11,45,0.68,39.8,1.82,7.26,1.16,248,219,0.4,20.8,6.46,0
2026-01-30,PUB_AIIMS_DEL,77,1,2,14,60,0.66,45.6,1.9,7.31,1.49,131,253,0.48,25.8,6.82,0
2026-01-31,PUB_AIIMS_DEL,68,1,1,10,56,0.85,41.5,1.25,7.47,2.56,250,271,0.57,26.1,5.44,0
2026-02-01,PUB_AIIMS_DEL,67,1,1,12,53,0.79,58.0,0.68,6.86,1.99,273,238,0.0,28.5,4.97,0
2026-02-02,PUB_AIIMS_DEL,57,1,2,11,43,0.69,45.1,1.94,6.81,1.2,289,344,0.24,27.9,6.12,0
2026-02-03,PUB_AIIMS_DEL,49,1,1,7,40,0.59,47.8,1.01,7.35,2.66,264,178,0.42,26.2,6.25,0
2026-02-04,PUB_AIIMS_DEL,56,1,1,7,47,0.73,33.2,1.43,7.17,2.9,289,293,0.56,29.3,8.45,0
2026-02-05,PUB_AIIMS_DEL,61,1,2,8,50,0.79,28.9,1.33,7.32,2.99,180,329,0.57,24.3,5.76,0
2026-02-06,PUB_AIIMS_DEL,49,1,1,6,41,0.69,27.6,2.01,6.85,2.25,388,266,0.35,25.4,8.34,0
2026-02-07,PUB_AIIMS_DEL,56,1,1,9,45,0.58,36.2,0.7,7.15,2.71,315,271,0.22,25.6,6.45,0
2026-02-08,PUB_AIIMS_DEL,42,0,1,5,36,0.75,56.8,1.12,7.46,2.31,146,90,0.29,27.6,6.32,0
2026-02-09,PUB_AIIMS_DEL,49,1,1,6,41,0.74,56.4,1.36,7.16,2.05,550,162,0.45,26.8,6.26,0
2026-02-10,PUB_AIIMS_DEL,67,1,1,12,53,0.88,36.2,2.46,6.93,1.22,200,294,0.46,25.2,6.16,0
2026-02-11,PUB_AIIMS_DEL,51,1,1,9,40,0.65,35.7,1.86,7.23,0.57,271,257,0.3,27.4,7.18,0
2026-02-12,PUB_AIIMS_DEL,48,1,1,9,37,0.55,37.6,1.6,7.21,2.42,179,278,0.46,26.7,5.47,0
2026-02-13,PUB_AIIMS_DEL,52,0,1,8,43,0.56,42.9,1.69,7.18,2.74,363,223,0.68,25.2,8.0,0
2026-02-14,PUB_AIIMS_DEL,47,1,1,7,38,0.74,55.6,1.0,7.17,0.34,456,209,0.53,23.4,6.91,0
2026-02-15,PUB_AIIMS_DEL,74,1,2,11,60,0.74,36.4,2.38,7.34,2.14,139,215,0.49,28.8,7.06,0
2026-02-16,PUB_AIIMS_DEL,52,1,1,7,43,0.7,51.5,2.49,7.25,2.35,235,183,0.41,28.4,7.33,0
2026-02-17,PUB_AIIMS_DEL,52,1,1,10,40,0.69,45.0,0.93,7.52,1.93,170,341,0.36,23.0,5.59,0
2026-02-18,PUB_AIIMS_DEL,70,1,1,12,56,0.69,30.5,0.91,7.08,2.33,98,313,0.55,25.2,7.59,0
2025-08-23,PUB_PGIMER_CHD,86,2,3,16,65,0.77,38.0,0.9,6.87,2.41,551,341,0.62,25.1,6.48,0
2025-08-24,PUB_PGIMER_CHD,74,2,2,16,54,0.7,43.5,2.11,7.57,5.23,315,160,0.52,27.7,5.81,0
2025-08-25,PUB_PGIMER_CHD,66,2,2,18,44,0.6,30.2,1.14,7.11,3.85,521,311,0.19,28.9,6.58,0
2025-08-26,PUB_PGIMER_CHD,95,3,4,17,71,0.67,31.6,1.48,7.52,2.45,30,236,0.64,26.2,7.4,0
2025-08-27,PUB_PGIMER_CHD,90,3,3,20,64,0.76,29.2,0.74,7.07,3.86,362,208,0.45,25.0,5.97,0
2025-08-28,PUB_PGIMER_CHD,75,2,3,22,48,0.69,45.9,2.01,7.08,5.25,209,206,0.46,30.5,7.61,0
2025-08-29,PUB_PGIMER_CHD,87,3,3,25,56,0.85,49.1,2.4,7.31,1.47,305,326,0.51,26.8,7.19,0
2025-08-30,PUB_PGIMER_CHD,79,2,4,22,51,0.89,54.3,0.91,7.12,4.37,493,226,0.37,28.1,9.0,0
2025-08-31,PUB_PGIMER_CHD,91,3,2,20,66,0.58,32.1,1.99,7.23,1.65,178,319,0.4,25.9,6.78,0
2025-09-01,PUB_PGIMER_CHD,60,1,3,15,41,0.66,36.7,2.36,7.42,1.67,562,239,0.33,25.2,7.34,0
2025-09-02,PUB_PGIMER_CHD,85,2,2,21,60,0.8,41.0,2.02,7.04,5.15,97,335,0.08,23.5,7.55,0
2025-09-03,PUB_PGIMER_CHD,79,2,3,18,56,0.64,40.6,1.33,7.04,3.79,374,335,0.64,23.5,6.78,0
2025-09-04,PUB_PGIMER_CHD,85,3,4,22,56,0.7,27.2,2.42,7.51,6.12,555,151,0.38,30.4,6.93,0
2025-09-05,PUB_PGIMER_CHD,89,3,4,20,62,0.71,43.3,2.47,7.33,4.35,68,294,0.49,24.7,6.86,0
2025-09-06,PUB_PGIMER_CHD,74,2,3,21,48,0.69,42.7,0.9,7.55,3.67,500,265,0.46,29.8,5.92,0
2025-09-07,PUB_PGIMER_CHD,68,2,3,20,43,0.93,26.4,2.28,7.14,6.67,88,314,0.24,23.9,7.39,0
2025-09-08,PUB_PGIMER_CHD,70,1,4,16,49,0.83,32.0,1.85,7.25,0.52,34,206,0.43,28.1,6.66,0
2025-09-09,PUB_PGIMER_CHD,79,2,3,18,56,0.92,49.2,1.51,7.39,2.55,227,242,0.38,25.0,6.62,0
